round,loss,accuracy,f1,dp_epsilon,dp_epsilon_mean,dp_epsilon_max,fit_wall_s,comm_bytes_down,comm_bytes_up,dp_clip_norm,dp_noise_multiplier,dp_target_epsilon,memory_usage_mb,prox_mu
1,1.8014094829559326,0.344921875,0.09222127034209879,0.28223533378602655,0.5312985701819767,2.0301408025779497,3.9331111595385573,105768.0,105768.0,1.0,8.6,10.0,892.1660131877827,0.01
2,1.638323426246643,0.4124999999999999,0.10393811736540468,0.2822353337860265,0.5312985701819767,2.0301408025779497,2.659489642214504,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1479.5087862444673,0.01
3,2.1760263442993164,0.449296875,0.1560088711976771,0.2822353337860265,0.5312985701819766,2.0301408025779497,2.6584868952387892,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1480.1936473474545,0.01
4,1.769032597541809,0.5665625,0.22318352353296814,0.28223533378602655,0.5312985701819767,2.0301408025779497,2.628892526599997,105768.0,105768.0,1.0,8.6,10.0,1480.628995284594,0.01
5,1.989719271659851,0.6079687499999998,0.26613083626322187,0.28223533378602655,0.5312985701819766,2.0301408025779497,2.652525275155398,105768.00000000001,105768.00000000001,1.0,8.6,10.0,1480.7857073657578,0.01
6,1.9711006879806519,0.62125,0.25558810439524404,0.2822353337860265,0.5312985701819766,2.0301408025779497,2.647983398927093,105768.0,105768.0,1.0,8.6,10.0,1480.993513650854,0.01
7,2.6115007400512695,0.6785156249999998,0.23807681849524437,0.28223533378602655,0.5312985701819767,2.0301408025779497,2.6333077325777783,105768.0,105768.0,1.0,8.6,10.0,1481.1383422413624,0.01
8,1.4844149351119995,0.568984375,0.24303745775430924,0.2822353337860265,0.5312985701819766,2.0301408025779497,2.643156366394009,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1481.1819227329006,0.01
9,2.208087205886841,0.7040624999999999,0.34211916157805583,0.28223533378602655,0.5312985701819766,2.0301408025779497,2.6508924891267767,105768.0,105768.0,1.0,8.6,10.0,1481.2618969715138,0.01
10,1.6401798725128174,0.7039062499999998,0.3403678626542342,0.28223533378602655,0.5312985701819766,2.0301408025779497,2.624619885393543,105768.0,105768.0,1.0,8.6,10.0,1481.316326126482,0.01
11,2.3447680473327637,0.503828125,0.20156573014979898,0.28223533378602655,0.5312985701819767,2.0301408025779497,2.63443950527991,105768.00000000001,105768.00000000001,1.0,8.6,10.0,1481.387465452445,0.01
12,2.081101179122925,0.7039062499999998,0.3422166122990175,0.2822353337860265,0.5312985701819766,2.0301408025779497,2.663965981429833,105768.0,105768.0,1.0,8.6,10.0,1481.4305036631376,0.01
13,1.864591121673584,0.72375,0.341464111540372,0.28223533378602655,0.5312985701819766,2.0301408025779497,2.6560012399778405,105768.0,105768.0,1.0,8.6,10.0,1481.489225367045,0.01
14,2.2819037437438965,0.52328125,0.22522309272768606,0.2822353337860266,0.5312985701819766,2.0301408025779497,2.6564317058101867,105768.0,105768.0,1.0,8.6,10.0,1481.6965655343356,0.01
15,2.9461135864257812,0.61796875,0.23106298947252854,0.2822353337860265,0.5312985701819766,2.0301408025779497,2.6153396629232866,105768.0,105768.0,1.0,8.6,10.0,1481.7124044001523,0.01
16,2.7224886417388916,0.538203125,0.20832845143874681,0.2822353337860265,0.5312985701819766,2.0301408025779497,2.6196515451325877,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1481.7772343798745,0.01
17,2.3538026809692383,0.64265625,0.2919588016977605,0.2822353337860265,0.5312985701819766,2.0301408025779497,2.6204035893289483,105768.0,105768.0,1.0,8.6,10.0,1481.8110203044573,0.01
