round,loss,accuracy,f1,fit_wall_s,comm_bytes_down,comm_bytes_up,memory_usage_mb,noise_multiplier
1,1.3507535457611084,0.49949100780454697,0.4102094471759881,1.7451281916913584,218160.0,218160.0,872.140018766152,0.0
2,0.9695274233818054,0.5921275873769936,0.4985504195371159,0.3319286483221397,218159.99999999997,218159.99999999997,1530.4117560485242,0.0
3,0.7714871168136597,0.6192738378011537,0.5475866416536769,0.3244829110403964,218159.99999999997,218159.99999999997,1530.856277947327,0.0
4,0.6804251670837402,0.6457414319647099,0.607059227988277,0.33019034196425057,218159.99999999997,218159.99999999997,1531.3173344625611,0.0
5,0.6181434988975525,0.6973193077706142,0.6803484726112868,0.3312331735439218,218160.0,218160.0,1531.4157345577732,0.0
6,0.5941265225410461,0.7254835425856804,0.7170111349830695,0.33270051342488893,218160.0,218160.0,1531.4430230507005,0.0
7,0.5507723689079285,0.7729894808279606,0.7701441081015726,0.3272946116973578,218160.0,218160.0,1531.4976850474359,0.0
8,0.5323243737220764,0.7797760434340006,0.7768427273070593,0.3277321464348669,218159.99999999997,218159.99999999997,1531.5528996149005,0.0
9,0.49063143134117126,0.8082796063793688,0.806496346499595,0.32257664398218266,218160.0,218160.0,1531.627135367077,0.0
10,0.48978978395462036,0.8025110281642348,0.7999076842319559,0.3273123130445512,218159.99999999997,218159.99999999997,1531.627135367077,0.0
11,0.4759243428707123,0.8157448252460129,0.8136013111118471,0.3305516154449575,218159.99999999997,218159.99999999997,1531.659737040091,0.0
12,0.447992205619812,0.834068544282321,0.8321946176448605,0.3268045213588303,218160.0,218160.0,1531.736140569743,0.0
13,0.4320690631866455,0.8466236851034951,0.8440544150243969,0.3278535190033316,218159.99999999997,218159.99999999997,1531.7688485063586,0.0
14,0.41697996854782104,0.8486596538853071,0.8467625535310571,0.3239344796236763,218160.0,218160.0,1531.7942880126154,0.0
15,0.4115941524505615,0.8506956226671191,0.8480414836771193,0.3321480466634586,218159.99999999997,218159.99999999997,1531.7942880126154,0.0
16,0.39206674695014954,0.8601968103155752,0.8580965081117048,0.3254177790536455,218159.99999999997,218159.99999999997,1531.8268896856296,0.0
17,0.3904936611652374,0.8595181540549711,0.85755299257478,0.32750868836217134,218159.99999999997,218159.99999999997,1531.8594913586437,0.0
18,0.378528892993927,0.8612147947064812,0.8592384847856973,0.329773620533087,218159.99999999997,218159.99999999997,1531.8630830683826,0.0
19,0.3694012761116028,0.8629114353579912,0.8614109001121538,0.3300382774140811,218159.99999999994,218159.99999999994,1531.8630830683826,0.0
20,0.3675054609775543,0.8646080760095012,0.8626285942651947,0.32890002123030543,218159.99999999997,218159.99999999997,1531.8630830683828,0.0
21,0.3605329096317291,0.8649474041398032,0.8633649088685642,0.3304277050093027,218159.99999999997,218159.99999999997,1531.8630830683826,0.0
22,0.36005857586860657,0.8639294197488971,0.862308015749781,0.3340273459276774,218160.0,218160.0,1531.895684741397,0.0
23,0.35395708680152893,0.8652867322701052,0.8641383539592832,0.33204791575702675,218159.99999999997,218159.99999999997,1531.895684741397,0.0
24,0.3520130217075348,0.8639294197488971,0.8628888038804361,0.33114897523792836,218160.0,218160.0,1531.895684741397,0.0
