round,loss,accuracy,f1,dp_epsilon,dp_epsilon_mean,dp_epsilon_max,fit_wall_s,comm_bytes_down,comm_bytes_up,dp_clip_norm,dp_noise_multiplier,dp_target_epsilon,memory_usage_mb,prox_mu
1,1.6781810522079468,0.35529891304347827,0.24166012240849502,0.13652319365409382,0.16353734577795842,0.32239519259287464,1.8528758739166862,109079.99999999999,109079.99999999999,1.0,14.49,4.0,871.8587815177843,0.01
2,1.4905067682266235,0.4055706521739131,0.3101352746773782,0.13652319365409382,0.16353734577795842,0.32239519259287464,0.5303093365214206,109079.99999999999,109079.99999999999,1.0,14.49,4.0,1533.7991787948856,0.01
3,1.3797425031661987,0.47690217391304346,0.39622658331871646,0.13652319365409382,0.16353734577795842,0.32239519259287464,0.5355019846989878,109079.99999999999,109079.99999999999,1.0,14.49,4.0,1534.7084126768227,0.01
4,1.221925139427185,0.48845108695652173,0.39755921123496724,0.13652319365409385,0.16353734577795842,0.32239519259287464,0.5268149865918891,109079.99999999999,109079.99999999999,1.0,14.49,4.0,1535.4026832622076,0.01
5,1.0932884216308594,0.5594429347826086,0.45913316596635667,0.13652319365409382,0.16353734577795842,0.32239519259287464,0.5232128678325471,109080.0,109080.0,1.0,14.49,4.0,1535.7790264341336,0.01
6,0.9742976427078247,0.5985054347826086,0.5421116905187056,0.13652319365409382,0.16353734577795842,0.32239519259287464,0.5262384986073201,109080.0,109080.0,1.0,14.49,4.0,1536.0817491201376,0.01
7,0.959583044052124,0.6073369565217391,0.5113960187423735,0.13652319365409385,0.16353734577795842,0.32239519259287464,0.5200756081299891,109079.99999999999,109079.99999999999,1.0,14.49,4.0,1536.200254288799,0.01
8,0.8894562125205994,0.6233016304347826,0.553455918770118,0.13652319365409382,0.16353734577795842,0.32239519259287464,0.5288590175607387,109080.0,109080.0,1.0,14.49,4.0,1536.2739799756869,0.01
9,0.8515844941139221,0.6480978260869565,0.6242792768408828,0.13652319365409382,0.16353734577795842,0.32239519259287464,0.5288988353767645,109079.99999999999,109079.99999999999,1.0,14.49,4.0,1536.4123351851538,0.01
10,0.8293437361717224,0.623641304347826,0.5992497727683959,0.13652319365409385,0.16353734577795842,0.32239519259287464,0.5310740773773815,109079.99999999999,109079.99999999999,1.0,14.49,4.0,1536.5432306897783,0.01
11,0.7956438660621643,0.6487771739130435,0.6342373860775378,0.13652319365409382,0.16353734577795842,0.32239519259287464,0.5329195388123572,109079.99999999999,109079.99999999999,1.0,14.49,4.0,1536.782170774109,0.01
12,0.7865276336669922,0.663383152173913,0.6404422850497868,0.13652319365409382,0.16353734577795842,0.32239519259287464,0.5339515322051188,109079.99999999999,109079.99999999999,1.0,14.49,4.0,1536.921354839669,0.01
13,0.804248571395874,0.6005434782608695,0.5233833757062111,0.13652319365409382,0.16353734577795842,0.32239519259287464,0.5317694486095544,109079.99999999999,109079.99999999999,1.0,14.49,4.0,1536.9901498954366,0.01
14,0.8463517427444458,0.577445652173913,0.5175610104187973,0.13652319365409382,0.16353734577795842,0.32239519259287464,0.5327771346898541,109079.99999999999,109079.99999999999,1.0,14.49,4.0,1537.0412201824333,0.01
15,0.8053499460220337,0.6565896739130435,0.6014983676389613,0.13652319365409382,0.16353734577795842,0.32239519259287464,0.5343858379145053,109079.99999999999,109079.99999999999,1.0,14.49,4.0,1537.041220182433,0.01
16,0.816490650177002,0.6603260869565217,0.6096111023717087,0.13652319365409385,0.16353734577795842,0.32239519259287464,0.5415358250885717,109079.99999999999,109079.99999999999,1.0,14.49,4.0,1537.1291511876018,0.01
17,0.7821860313415527,0.6661005434782609,0.6355506280950385,0.13652319365409385,0.16353734577795842,0.32239519259287464,0.5409365281770746,109080.0,109080.0,1.0,14.49,4.0,1537.161497827972,0.01
18,0.8319118022918701,0.6375679347826086,0.5987769095840164,0.13652319365409382,0.16353734577795842,0.32239519259287464,0.5292347865473069,109079.99999999999,109079.99999999999,1.0,14.49,4.0,1537.2626820295498,0.01
19,0.7758358120918274,0.6847826086956522,0.6681969737217011,0.13652319365409382,0.16353734577795842,0.32239519259287464,0.5329790745777716,109079.99999999999,109079.99999999999,1.0,14.49,4.0,1537.26268202955,0.01
20,0.8277750015258789,0.6593070652173914,0.6248610659617292,0.13652319365409382,0.16353734577795842,0.32239519259287464,0.5282207343471971,109079.99999999999,109079.99999999999,1.0,14.49,4.0,1537.3086516636629,0.01
21,0.7606304883956909,0.686820652173913,0.6654021201358452,0.13652319365409385,0.16353734577795842,0.32239519259287464,0.543407411064235,109079.99999999999,109079.99999999999,1.0,14.49,4.0,1537.3609121029992,0.01
22,0.7782042622566223,0.6844429347826086,0.6507949310382287,0.13652319365409385,0.16353734577795842,0.32239519259287464,0.5367465045169336,109079.99999999999,109079.99999999999,1.0,14.49,4.0,1537.3932587433687,0.01
23,0.7889453768730164,0.6708559782608695,0.6580145394200397,0.13652319365409382,0.16353734577795842,0.32239519259287464,0.541136796054176,109079.99999999999,109079.99999999999,1.0,14.49,4.0,1537.458462089397,0.01
