round,loss,accuracy,f1,avg_fit_wall_s,total_comm_bytes_down,total_comm_bytes_up
1,1.7336126565933228,0.1798439090600611,0.07072086152790037,2.4640344381332397,16323040.0,16323040.0
2,1.5833967924118042,0.3515439429928741,0.2477909503860172,1.3630098581314087,16323040.0,16323040.0
3,1.4087928533554077,0.3803868340685443,0.29138482931694726,1.3610541820526123,16323040.0,16323040.0
4,1.351423978805542,0.36138445877163217,0.265011869843094,1.1852364778518676,16323040.0,16323040.0
5,1.3230624198913574,0.3844587716321683,0.2954291823087082,1.3570164680480956,16323040.0,16323040.0
6,1.2878791093826294,0.3973532405836444,0.31222290969151284,1.3517640829086304,16323040.0,16323040.0
7,1.2434507608413696,0.4054971157108924,0.3209600647706778,1.4055070161819458,16323040.0,16323040.0
8,1.2109476327896118,0.43400067865626063,0.350611547790479,1.337860918045044,16323040.0,16323040.0
9,1.1836488246917725,0.4418052256532066,0.3631950723229811,1.3731905221939087,16323040.0,16323040.0
10,1.1417090892791748,0.501187648456057,0.42458831776117784,1.3296008110046387,16323040.0,16323040.0
11,1.063040018081665,0.5609093993892094,0.4783892598683997,1.3982782363891602,16323040.0,16323040.0
12,0.9938263297080994,0.5676959619952494,0.4993322929773971,1.3184178590774536,16323040.0,16323040.0
13,0.8663443922996521,0.6050220563284696,0.540499652805114,1.3288809537887574,16323040.0,16323040.0
14,0.7965450882911682,0.6325076348829318,0.582114924717009,1.3168848752975464,16323040.0,16323040.0
15,0.7660548686981201,0.6623685103495079,0.6246106491936204,1.283578133583069,16323040.0,16323040.0
16,0.7931107878684998,0.6464200882253137,0.604127838936554,1.3933066606521607,16323040.0,16323040.0
17,0.879203200340271,0.6250424160162877,0.5909096203814682,1.3123868942260741,16323040.0,16323040.0
18,0.8392080664634705,0.6932473702069901,0.6587846373117837,1.3412254571914672,16323040.0,16323040.0
19,0.777404248714447,0.6857821513403461,0.6651242655575372,1.4221030473709106,16323040.0,16323040.0
20,0.7308415770530701,0.6966406515100102,0.6320542165163933,1.3535749197006226,16323040.0,16323040.0
21,0.834878146648407,0.658635900916186,0.5854644980870553,1.3388466119766236,16323040.0,16323040.0
22,0.7380132079124451,0.7315914489311164,0.7072446619215639,1.368049693107605,16323040.0,16323040.0
23,0.795904278755188,0.6986766202918222,0.6593238779054728,1.3837363243103027,16323040.0,16323040.0
24,1.0361993312835693,0.6844248388191381,0.6017771303147507,1.3709535121917724,16323040.0,16323040.0
25,0.8717076778411865,0.666779776043434,0.6069391321906678,1.4003446102142334,16323040.0,16323040.0
26,0.9955382943153381,0.6976586359009161,0.6122203412175794,1.3800122737884521,16323040.0,16323040.0
27,0.8321467041969299,0.675941635561588,0.6325208421534156,1.3666104793548584,16323040.0,16323040.0
28,0.8062235713005066,0.7197149643705463,0.6424931104569033,1.426247787475586,16323040.0,16323040.0
29,0.7097354531288147,0.7726501526976587,0.7610043940307646,1.4129657745361328,16323040.0,16323040.0
30,0.9563984870910645,0.7427892772310825,0.6928910099393378,1.4017541646957397,16323040.0,16323040.0
31,0.6346219778060913,0.7919918561248728,0.7852881203777005,1.3936872482299805,16323040.0,16323040.0
