round,loss,accuracy,f1,fit_wall_s,comm_bytes_down,comm_bytes_up,memory_usage_mb,noise_multiplier
1,1.5637726783752441,0.35623489043125633,0.06975596506096947,2.7271779004180514,211536.0,211536.0,890.6122676722625,0.0
2,1.2185138463974,0.7017078686734773,0.30060131677978896,1.458229912543442,211535.99999999997,211535.99999999997,1455.7077945559877,0.0
3,1.1309120655059814,0.6891523044529362,0.3299567746965423,1.4784277319545551,211536.0,211536.0,1456.1432795865994,0.0
4,0.9243162274360657,0.7431178351399829,0.36877849786316275,1.4491790218214557,211536.0,211536.0,1456.3635126333156,0.0
5,0.8747466802597046,0.7431178351399829,0.40070770245254844,1.4345325295284748,211536.0,211536.0,1456.6307504618528,0.0
6,0.8033195734024048,0.7652655384855338,0.42072516025071527,1.4647525356528428,211536.0,211536.0,1456.6307504618526,0.0
7,0.7688437700271606,0.7643297200343133,0.4264412832398486,1.4956999783712288,211536.0,211536.0,1456.6314938131236,0.0
8,0.7652521133422852,0.7647196443889885,0.4221921704948873,1.5197159952333426,211536.0,211536.0,1456.70812906406,0.0
9,0.7099534273147583,0.7778211027060751,0.43870131186931893,1.580041815409551,211535.99999999997,211535.99999999997,1456.7436545524783,0.0
10,0.699863851070404,0.7782110270607502,0.4378143614526791,1.7574328597343911,211536.0,211536.0,1456.7517095555977,0.0
11,0.6693751215934753,0.7807065429306714,0.4443516241766402,1.9031821793447026,211535.99999999997,211535.99999999997,1456.760023513054,0.0
12,0.6660589575767517,0.7800046790922561,0.4448174372431454,1.9122602618153428,211536.00000000003,211536.00000000003,1456.77586237887,0.0
13,0.6285784244537354,0.7887389846369804,0.45538642420012476,1.7211267261967387,211536.0,211536.0,1456.783387287231,0.0
14,0.6237035393714905,0.7853856351867737,0.46607550256283176,1.5064436708118072,211536.0,211536.0,1456.83631755357,0.0
15,0.5942835211753845,0.7948997894408485,0.47624057722558744,1.4928948792824042,211536.0,211536.0,1456.8846871770686,0.0
16,0.5857971906661987,0.79801918427825,0.4937831654435723,1.459961129264998,211536.0,211536.0,1456.8846871770686,0.0
17,0.562140703201294,0.8072213990485846,0.5079045307393191,1.4684877117456279,211536.0,211536.0,1456.9001056229042,0.0
18,0.5643165111541748,0.8051937924042736,0.5127630776283383,1.4553560476986636,211536.0,211536.0,1456.900105622904,0.0
19,0.5290266275405884,0.8186851750760352,0.529430503083099,1.4837769468253497,211536.0,211536.0,1456.9076305312644,0.0
20,0.513449490070343,0.8235982219449427,0.5337725362753052,1.477678514915925,211536.0,211536.0,1456.9076305312649,0.0
21,0.5070846080780029,0.8274194806207595,0.5416338101194815,1.4456579730581745,211536.0,211536.0,1456.9076305312644,0.0
22,0.4828292429447174,0.8359978164236138,0.5510883111621129,1.480522032057211,211536.0,211536.0,1456.9076305312647,0.0
23,0.4927533268928528,0.8317866333931218,0.5466411659279059,1.4740773844209445,211536.0,211536.0,1456.9358321817483,0.0
24,0.4683724045753479,0.8381813928097949,0.5548436094929322,1.4862726006283253,211536.0,211536.0,1456.9738649574463,0.0
25,0.4666123390197754,0.8390392263900803,0.5546979580166799,1.4708580253342163,211536.00000000003,211536.00000000003,1456.9738649574463,0.0
26,0.473124235868454,0.8359978164236138,0.5546391539208263,1.47462980156104,211536.0,211536.0,1456.9738649574465,0.0
27,0.44845595955848694,0.8439522732589878,0.5634352583227794,1.4675418516808971,211536.0,211536.0,1456.9738649574463,0.0
28,0.46529361605644226,0.8376354987132496,0.557619374883596,1.4591556811896116,211536.0,211536.0,1457.0270389455136,0.0
29,0.4503292739391327,0.8441862278717929,0.5684102224435373,1.45840816449643,211535.99999999994,211535.99999999994,1457.034563853874,0.0
30,0.4376375675201416,0.8465257739998441,0.5688234910589857,1.4597170933362866,211536.0,211536.0,1457.0345638538743,0.0
31,0.4379790127277374,0.8466817437417141,0.5708017637451966,1.4684979694065523,211536.0,211536.0,1457.0345638538743,0.0
32,0.43722352385520935,0.8473836075801294,0.5708588607770897,1.462991876031136,211536.0,211536.0,1457.047718734158,0.0
33,0.4280105233192444,0.8494112142244404,0.5746797377841623,1.4683482707281263,211536.0,211536.0,1457.047718734158,0.0
34,0.4213330149650574,0.8520626998362317,0.5778640012263315,1.4260565581550053,211536.0,211536.0,1457.047718734158,0.0
