round,loss,accuracy,f1,fit_wall_s,comm_bytes_down,comm_bytes_up,memory_usage_mb
1,1.9714070558547974,0.341015625,0.06482325280982999,13.3418155257359,803880.0,803880.0,895.9844708131045
2,1.6791799068450928,0.396328125,0.09217906998138828,10.76737176081986,803879.9999999998,803879.9999999998,1354.5822935555102
3,1.6081492900848389,0.4410156250000001,0.11193741261967112,9.052250000141356,803880.0000000001,803880.0000000001,1357.9282120695875
4,1.5491483211517334,0.438671875,0.13154055948551982,9.053277635854188,803880.0,803880.0,1359.0139558108133
5,1.2983616590499878,0.441328125,0.14112265082774092,9.067867157709728,803880.0000000001,803880.0000000001,1359.3209812114922
6,1.1956108808517456,0.44890625,0.14533988232406975,8.7795438668533,803880.0000000001,803880.0000000001,1359.4248432259983
7,1.0907790660858154,0.627578125,0.2795283369066718,6.4062144667249505,803879.9999999999,803879.9999999999,1359.6280127052137
8,0.9803348779678345,0.6478906250000002,0.2769506469175842,6.513788087712753,803880.0000000001,803880.0000000001,1359.8504514335714
9,0.8820898532867432,0.69546875,0.3170251752203727,6.414281511293748,803879.9999999999,803879.9999999999,1359.9175236531937
10,0.898665189743042,0.706875,0.32957812426160105,6.377481512008304,803879.9999999999,803879.9999999999,1360.0554122674896
11,0.8958073258399963,0.698828125,0.3262672751765211,6.378407649294929,803880.0,803880.0,1360.3154663980854
12,0.7983381152153015,0.7287499999999999,0.379905092992056,6.451080666305568,803880.0,803880.0,1360.4122939942092
13,0.7890300750732422,0.735703125,0.3904384929617612,6.4675826735967705,803880.0,803880.0,1360.432925038508
14,0.7454177141189575,0.734765625,0.40697414105009216,6.415045974890913,803880.0,803880.0,1360.4329250385078
15,0.7083858847618103,0.7653125,0.450171245851848,6.464439627100981,803880.0000000001,803880.0000000001,1360.503421548413
16,0.774773895740509,0.74984375,0.4211942209033198,6.404887721274873,803880.0,803880.0,1360.5041648996842
17,0.7755047678947449,0.7621875,0.49012796699506306,6.464287208327264,803880.0,803880.0,1360.6009041466814
18,0.7318975329399109,0.7560937499999999,0.46442400860909455,6.379793638275448,803879.9999999999,803879.9999999999,1360.6412644648844
19,0.9175650477409363,0.6716406250000001,0.42964658314948345,6.385758008288994,803880.0,803880.0,1360.6495784223407
20,0.7787702679634094,0.6962499999999999,0.4637565303402999,6.4887751639214715,803880.0,803880.0,1360.6495784223405
21,0.6797040104866028,0.781171875,0.5478650948006119,6.4919688654353145,803880.0,803880.0,1360.7101310857315
22,0.5414041876792908,0.807265625,0.564793569781274,6.404152107748258,803880.0,803880.0,1360.8136945411206
23,0.5469933748245239,0.814765625,0.5727775028753824,6.510453377898148,803879.9999999998,803879.9999999998,1360.878969312997
24,0.5022743344306946,0.83046875,0.5859311879447703,6.502240143473445,803879.9999999999,803879.9999999999,1360.8789693129972
25,0.5233325958251953,0.818359375,0.5874046516148319,6.38191393010331,803880.0,803880.0,1360.9052790735645
26,0.5093330144882202,0.824140625,0.5910523352298297,6.493133671183125,803880.0,803880.0,1360.905279073565
27,0.5981029868125916,0.8153125,0.5655741872353893,6.433973293704411,803880.0,803880.0,1360.905279073565
28,0.49123522639274597,0.8308593749999998,0.6167625450772003,6.361432581214893,803879.9999999999,803879.9999999999,1360.9075091273787
29,0.5385529398918152,0.8195312500000002,0.5644678307423981,6.34668916524749,803880.0,803880.0,1360.907509127379
30,0.5383884906768799,0.819453125,0.5748458170831805,6.3914933751421925,803880.0000000001,803880.0000000001,1360.9324509997466
31,0.5320548415184021,0.828125,0.6339389807256086,6.445630782364757,803880.0,803880.0,1360.952338692774
32,0.3547903895378113,0.8665625,0.6364767820365845,6.519543896458149,803880.0,803880.0,1360.9831755844443
33,0.3312929570674896,0.874609375,0.6688119120351154,6.442006969768941,803879.9999999999,803879.9999999999,1361.0057503095265
34,0.3544013202190399,0.871953125,0.6453209068916568,6.428997852295205,803880.0,803880.0,1361.0189051898105
35,0.3918202519416809,0.8622656249999999,0.6278188905035411,6.309452193586824,803880.0,803880.0,1361.067274813309
36,0.31439921259880066,0.8828125,0.6569054120877378,6.408550477524366,803880.0,803880.0,1361.0680181645805
37,0.518368124961853,0.820234375,0.6347356834264265,6.430375798316442,803880.0,803880.0,1361.0879058576081
38,0.9418638944625854,0.722265625,0.5247742920090661,6.41750698563945,803880.0,803880.0,1361.087905857608
39,0.3481508493423462,0.87046875,0.6685025340652231,6.462733720407307,803880.0,803880.0,1361.1362754811064
40,0.43426313996315,0.8527343750000002,0.674006869879846,6.375887576935166,803880.0,803880.0,1361.1362754811066
41,0.2995832860469818,0.891015625,0.706949026843273,6.361506410948369,803880.0,803880.0,1361.1410798456754
42,0.28653228282928467,0.895390625,0.6973487666618643,6.453813452506618,803879.9999999999,803879.9999999999,1361.1410798456754
43,0.3309764266014099,0.8892187499999998,0.6709938522452599,6.335559077738711,803880.0,803880.0,1361.1410798456754
44,0.259560763835907,0.9072656250000001,0.7204017106373131,6.401814765132287,803880.0,803880.0,1361.1410798456752
45,0.34054023027420044,0.8853124999999998,0.6605595213054519,6.429606837306634,803880.0,803880.0,1361.1483914975238
46,0.2715267837047577,0.90125,0.7149148645808391,6.449108300045785,803880.0,803880.0,1361.1483914975238
47,0.2421925812959671,0.9123437499999999,0.7284672927835177,6.450706626157124,803880.0,803880.0,1361.1483914975238
48,0.24809648096561432,0.9115625000000002,0.7310493728323095,6.472415746346109,803880.0,803880.0,1361.1483914975238
49,0.23604968190193176,0.912578125,0.7185677615122742,6.307236144331088,803879.9999999999,803879.9999999999,1361.1967611210227
50,0.29344892501831055,0.89390625,0.7238766254414516,6.430479182642534,803880.0,803880.0,1361.1967611210225
51,0.2558463215827942,0.9021093750000001,0.696215003392582,6.283795054761989,803880.0,803880.0,1361.196761121022
52,0.21794402599334717,0.9169531249999999,0.7417703437197039,6.428635288988106,803880.0,803880.0,1361.2058184297498
53,0.2701725959777832,0.9025,0.7205780769699323,6.390495599487647,803880.0,803880.0,1361.2230983002848
54,0.2434760481119156,0.9067968749999998,0.7189009094700218,6.401729030168255,803880.0,803880.0,1361.2230983002846
55,0.23441237211227417,0.90953125,0.7460470619335987,6.455295069539181,803879.9999999999,803879.9999999999,1361.2230983002844
