round,loss,accuracy,f1,fit_wall_s,comm_bytes_down,comm_bytes_up,memory_usage_mb
1,0.8552637696266174,0.80671875,0.5140071747474408,4.310200254773223,105768.00000000001,105768.00000000001,815.0638072624203
2,0.5431893467903137,0.82796875,0.5588443186897788,2.1694135311017675,105768.00000000001,105768.00000000001,1398.1290225509622
3,0.4499562084674835,0.848359375,0.6091297403119864,7.138013882014853,105768.00000000001,105768.00000000001,1398.4415195044407
4,0.4296160936355591,0.85875,0.6186613439418825,2.2133388377271674,105768.00000000001,105768.00000000001,1398.6602749881795
5,0.39043328166007996,0.869765625,0.6338578239103089,2.171272117580049,105768.00000000001,105768.00000000001,1398.785273769571
6,0.369049996137619,0.879296875,0.6431049321335196,6.972607032563976,105768.00000000001,105768.00000000001,1398.8165219416578
7,0.34917527437210083,0.884609375,0.6525546908860664,2.253385967312802,105768.00000000001,105768.00000000001,1398.8633957230493
8,0.3454078733921051,0.8839843750000002,0.6677305706372711,2.1592982178395594,105768.00000000001,105768.00000000001,1398.941514630006
9,0.3264709413051605,0.8898437500000002,0.6694233424100998,7.002407292129841,105768.00000000001,105768.00000000001,1399.0040140207018
10,0.3179300129413605,0.893046875,0.6767024603349215,2.3444190471597404,105768.00000000001,105768.00000000001,1399.004014020702
11,0.3374163508415222,0.8874999999999998,0.6874885786549572,2.2918681062303565,105768.00000000001,105768.00000000001,1399.0508878020933
12,0.3074711859226227,0.8959375000000002,0.6917262351960684,6.669525204554974,105768.00000000001,105768.00000000001,1399.1133902393103
13,0.30993130803108215,0.898515625,0.6890312807751787,2.5707251336120476,105768.00000000001,105768.00000000001,1399.1290158486145
14,0.29786401987075806,0.900390625,0.705186261072255,2.2314035921912354,105768.00000000001,105768.00000000001,1399.1602640207016
15,0.29464659094810486,0.899921875,0.7022053712010251,6.399873461510978,105768.00000000001,105768.00000000001,1399.2071408486147
16,0.2943171262741089,0.900078125,0.6960847487902054,2.8760330730119747,105768.00000000001,105768.00000000001,1399.2227664579189
17,0.2844840884208679,0.9037500000000002,0.7039675871963638,2.227180710877928,105768.00000000001,105768.00000000001,1399.254014630006
18,0.29055169224739075,0.90265625,0.7115377410509321,6.198855154131452,105768.00000000001,105768.00000000001,1399.2696371927887
19,0.2629304826259613,0.9089843749999998,0.7162854756815064,2.9669334139239676,105768.00000000001,105768.00000000001,1399.3008884113974
20,0.26546695828437805,0.907734375,0.718318024857718,2.312455255022809,105768.00000000001,105768.00000000001,1399.3008884113974
21,0.26118892431259155,0.9093750000000002,0.7328537118800521,6.614552396161194,105768.00000000001,105768.00000000001,1399.332139630006
22,0.2728784680366516,0.907109375,0.7201163714164377,3.1274433595921094,105768.00000000001,105768.00000000001,1399.3321396300062
23,0.25956016778945923,0.91140625,0.7266979152126448,2.838226031943763,105768.00000000001,105768.00000000001,1399.3321396300062
24,0.2553330957889557,0.913203125,0.7290358008726356,2.7784472882394353,105768.00000000001,105768.00000000001,1399.3477652393103
25,0.26252132654190063,0.911015625,0.7453697040248942,2.799828798829291,105768.00000000001,105768.00000000001,1399.3477652393103
26,0.24732688069343567,0.9146875,0.7491692781779851,12.176908706646222,105768.00000000001,105768.00000000001,1399.3633878020933
27,0.2651776075363159,0.9109374999999998,0.749953259864842,8.55245059088972,105768.00000000001,105768.00000000001,1399.3790134113972
28,0.2549549341201782,0.91203125,0.7438179077629489,2.2218204311593017,105768.00000000001,105768.00000000001,1399.3790134113974
29,0.2622084319591522,0.9107031249999998,0.744456412669952,2.3304275218400283,105768.00000000001,105768.00000000001,1399.4102646300062
30,0.2381255328655243,0.915703125,0.7478381836109174,6.455409798267349,105768.00000000001,105768.00000000001,1399.410264630006
31,0.24556195735931396,0.913359375,0.7439635478098078,2.6958919495432485,105768.00000000001,105768.00000000001,1399.4258902393103
32,0.2360420674085617,0.91515625,0.7480194230537458,2.1354284035008515,105768.00000000001,105768.00000000001,1399.4415158486147
33,0.24305087327957153,0.9170312500000001,0.7606510392194149,5.623700021363295,105768.00000000001,105768.00000000001,1399.4415158486147
34,0.24054069817066193,0.916875,0.7624703397424551,3.2091713595076077,105768.00000000001,105768.00000000001,1399.457141457919
35,0.23100855946540833,0.9175,0.7529489670826323,2.092462110688619,105768.00000000001,105768.00000000001,1399.457141457919
36,0.23275020718574524,0.9190625,0.7666188103855468,5.28704866843167,105768.00000000001,105768.00000000001,1399.4571414579189
37,0.23219530284404755,0.9189843750000001,0.769039321121169,3.5019645067863023,105768.00000000001,105768.00000000001,1399.457141457919
38,0.22338776290416718,0.91859375,0.754085177486084,2.242011279704474,105768.00000000001,105768.00000000001,1399.457141457919
39,0.22801001369953156,0.920234375,0.7678185595479725,4.559496630959978,105768.00000000001,105768.00000000001,1399.4571414579189
40,0.21782474219799042,0.9221875,0.7711803120917843,3.798591755422373,105768.00000000001,105768.00000000001,1399.4571414579189
41,0.22008831799030304,0.922734375,0.7740998186271669,2.1235729866700206,105768.00000000001,105768.00000000001,1399.457141457919
42,0.22703661024570465,0.9213281250000002,0.7720201601703327,2.1103497049055795,105768.00000000001,105768.00000000001,1399.457141457919
43,0.22222289443016052,0.9228124999999999,0.7910536198290434,3.990358712613313,105768.00000000001,105768.00000000001,1399.457141457919
44,0.21762841939926147,0.92390625,0.7782420878091708,4.275494714419939,105768.00000000001,105768.00000000001,1399.457141457919
45,0.21703022718429565,0.921796875,0.781559503343267,2.1593697921634,105768.00000000001,105768.00000000001,1399.4571414579189
46,0.22198563814163208,0.921875,0.7627461098991213,3.8741405040114034,105768.00000000001,105768.00000000001,1399.4571414579189
47,0.2132398784160614,0.9250000000000002,0.8044334285229877,4.505700213403193,105768.00000000001,105768.00000000001,1399.4727670672232
48,0.21352839469909668,0.9252343750000002,0.8015416913544781,2.1330517670457807,105768.00000000001,105768.00000000001,1399.4727670672235
49,0.20941531658172607,0.927109375,0.7793902021262495,2.138879543844093,105768.00000000001,105768.00000000001,1399.4727670672235
50,0.20740312337875366,0.927265625,0.8042432697467052,2.1677834767667536,105768.00000000001,105768.00000000001,1399.4883926765278
51,0.21239420771598816,0.9252343750000002,0.7881556438717723,3.4249667297322968,105768.00000000001,105768.00000000001,1399.4883926765278
52,0.21163572371006012,0.9267968750000001,0.7999387587312032,5.517136021479301,105768.00000000001,105768.00000000001,1399.5040152393103
53,0.2019021362066269,0.927890625,0.7993020658232118,2.190545166887818,105768.00000000001,105768.00000000001,1399.5196408486147
54,0.20961742103099823,0.926171875,0.8043694559014939,2.8336570919759367,105768.00000000001,105768.00000000001,1399.5196408486147
55,0.1982203871011734,0.92921875,0.8073215131562327,5.918216155399455,105768.00000000001,105768.00000000001,1399.5196408486145
56,0.199930801987648,0.928984375,0.8061057848292789,2.0766131487647264,105768.00000000001,105768.00000000001,1399.519640848615
57,0.19623826444149017,0.9286718749999999,0.7991105063901938,2.4010254161496594,105768.00000000001,105768.00000000001,1399.5196408486147
58,0.1943911612033844,0.92984375,0.806229643118661,6.989193296863887,105768.00000000001,105768.00000000001,1399.5196408486147
59,0.19634780287742615,0.9290625,0.798729008679606,2.1350508816174165,105768.00000000001,105768.00000000001,1399.5196408486145
60,0.18996194005012512,0.9309375,0.8064453655633381,2.144129528049708,105768.00000000001,105768.00000000001,1399.519640848615
61,0.1977701485157013,0.929765625,0.8011300951008936,6.932395570262549,105768.00000000001,105768.00000000001,1399.519640848615
62,0.19013331830501556,0.9302343749999998,0.8152187167140145,2.142308962980125,105768.00000000001,105768.00000000001,1399.519640848615
63,0.19644030928611755,0.93015625,0.8105702714340592,2.1236852844937357,105768.00000000001,105768.00000000001,1399.5196408486147
64,0.1821858286857605,0.932890625,0.8109045829343667,7.017575767302063,105768.00000000001,105768.00000000001,1399.535266457919
65,0.1876499503850937,0.933203125,0.814727984232993,2.1190048803583617,105768.00000000001,105768.00000000001,1399.5352664579189
66,0.17936909198760986,0.933515625,0.8159966551217585,2.38351353143887,105768.00000000001,105768.00000000001,1399.535266457919
67,0.1882179081439972,0.9318749999999999,0.8154201731318468,7.2481463928199235,105768.00000000001,105768.00000000001,1399.535266457919
68,0.17965388298034668,0.93390625,0.8140715521161199,2.2492041659790276,105768.00000000001,105768.00000000001,1399.5352664579193
69,0.1868363320827484,0.9334375,0.8178899646042186,2.2034287316911474,105768.00000000001,105768.00000000001,1399.535266457919
70,0.18321318924427032,0.9328125000000002,0.8113783567395983,7.0039716721222565,105768.00000000001,105768.00000000001,1399.535266457919
71,0.18177485466003418,0.93375,0.8241649057891834,2.5262859067164167,105768.00000000001,105768.00000000001,1399.5508920672232
72,0.1732393503189087,0.9359375,0.8273732753446754,2.269975316085676,105768.00000000001,105768.00000000001,1399.5508920672232
73,0.18153037130832672,0.931015625,0.8214173571269524,7.149544628873071,105768.00000000001,105768.00000000001,1399.5508920672235
74,0.18692341446876526,0.930390625,0.8123800169564278,8.256303930859952,105768.00000000001,105768.00000000001,1399.5508920672232
75,0.18391773104667664,0.931953125,0.8168681608165611,2.833210324096598,105768.00000000001,105768.00000000001,1399.550892067223
76,0.1795475035905838,0.9341406249999998,0.8148406937363911,2.3891919445896685,105768.00000000001,105768.00000000001,1399.5508920672237
77,0.17971527576446533,0.9338281249999999,0.811036789477202,6.2214572485115065,105768.00000000001,105768.00000000001,1399.5508920672232
78,0.1865742951631546,0.92921875,0.8122530031022019,8.005105952273068,105768.00000000001,105768.00000000001,1399.5508920672232
79,0.17639634013175964,0.9341406249999998,0.821590828647416,8.243064103163158,105768.00000000001,105768.00000000001,1399.5508920672232
80,0.178201362490654,0.9346093750000001,0.8260624398224007,4.183166689665228,105768.00000000001,105768.00000000001,1399.5508920672235
81,0.16999314725399017,0.93796875,0.8273404999284514,2.1875664989107055,105768.00000000001,105768.00000000001,1399.5508920672232
82,0.1770099550485611,0.9334375,0.8175705326471782,3.8902002909573614,105768.00000000001,105768.00000000001,1399.5508920672232
83,0.17234501242637634,0.935546875,0.8147092839181056,6.139292640900616,105768.00000000001,105768.00000000001,1399.5508920672232
84,0.16779036819934845,0.93625,0.8197767504009171,6.3538103065751415,105768.00000000001,105768.00000000001,1399.5508920672235
85,0.1671445071697235,0.938359375,0.8296028541715588,6.526315794722223,105768.00000000001,105768.00000000001,1399.5508920672235
86,0.165098175406456,0.938125,0.8268577967791678,6.597854453196969,105768.00000000001,105768.00000000001,1399.5508920672232
87,0.1674363911151886,0.9371875,0.8221009890497563,6.286148966302403,105768.00000000001,105768.00000000001,1399.5508920672232
88,0.16901861131191254,0.937421875,0.8253171380798386,6.190862551547681,105768.00000000001,105768.00000000001,1399.5508920672232
89,0.17461268603801727,0.9353125000000001,0.8159752898298523,6.166501119298211,105768.00000000001,105768.00000000001,1399.550892067223
