round,loss,accuracy,f1,dp_epsilon,dp_epsilon_mean,dp_epsilon_max,fit_wall_s,comm_bytes_down,comm_bytes_up,dp_clip_norm,dp_noise_multiplier,dp_target_epsilon,memory_usage_mb,prox_mu
1,1.6186565160751343,0.418046875,0.10103662085223976,0.15580454484281908,0.25727290772434436,0.917884702552925,3.8504386770336625,105768.0,105768.0,1.0,8.6,10.0,891.8003214537271,0.01
2,1.8907908201217651,0.4446093749999999,0.1247017442899021,0.15580454484281905,0.2572729077243444,0.917884702552925,2.6494126786885923,105768.00000000003,105768.00000000003,1.0,8.6,10.0,1479.6231234188554,0.01
3,1.9719812870025635,0.4577343750000001,0.1418960767701475,0.15580454484281908,0.2572729077243444,0.917884702552925,2.653147063827463,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1481.9444437082018,0.01
4,1.649312973022461,0.55390625,0.21316856259324865,0.15580454484281905,0.2572729077243444,0.917884702552925,2.6484924383523074,105768.0,105768.0,1.0,8.6,10.0,1482.1513421298598,0.01
5,2.403236150741577,0.3860156249999999,0.12877685172613473,0.15580454484281908,0.2572729077243444,0.917884702552925,2.655860216899105,105768.0,105768.0,1.0,8.6,10.0,1482.3167408342351,0.01
6,2.2335004806518555,0.528046875,0.17280163237622054,0.15580454484281908,0.2572729077243444,0.917884702552925,2.6614796392139644,105768.0,105768.0,1.0,8.6,10.0,1482.4742094428766,0.01
7,1.9171217679977417,0.60734375,0.27880923494497645,0.15580454484281908,0.2572729077243444,0.917884702552925,2.663480334517328,105768.0,105768.0,1.0,8.6,10.0,1482.6490919690034,0.01
8,2.4812779426574707,0.60609375,0.22654711000692038,0.15580454484281908,0.2572729077243444,0.917884702552925,2.6153594683864485,105768.0,105768.0,1.0,8.6,10.0,1482.7221963014008,0.01
9,2.1850972175598145,0.5537500000000001,0.20695955540784158,0.15580454484281908,0.25727290772434436,0.917884702552925,2.6504640963618273,105768.0,105768.0,1.0,8.6,10.0,1482.8246721485777,0.01
10,1.8842188119888306,0.665625,0.26725276521638863,0.15580454484281905,0.2572729077243444,0.917884702552925,2.6204274097241655,105768.0,105768.0,1.0,8.6,10.0,1482.8721369551602,0.01
11,1.9144375324249268,0.63171875,0.2509568597894604,0.15580454484281908,0.2572729077243444,0.917884702552925,2.635524226911279,105768.0,105768.0,1.0,8.6,10.0,1482.9351298823553,0.01
12,2.988273859024048,0.4484375,0.13608443668125175,0.15580454484281905,0.2572729077243444,0.917884702552925,2.63744448671808,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1483.1110512723492,0.01
13,2.9832255840301514,0.469296875,0.14963550134883877,0.15580454484281905,0.2572729077243444,0.917884702552925,2.6285373737279873,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1483.115855636918,0.01
14,1.8383238315582275,0.59921875,0.252422959410289,0.15580454484281908,0.2572729077243444,0.917884702552925,2.6581086677083205,105768.00000000001,105768.00000000001,1.0,8.6,10.0,1483.2354316098551,0.01
15,2.082019090652466,0.6592187500000001,0.2752071158717375,0.15580454484281905,0.2572729077243444,0.917884702552925,2.6188773648626547,105768.0,105768.0,1.0,8.6,10.0,1483.3112839047387,0.01
16,1.752002477645874,0.673359375,0.337079458538948,0.15580454484281905,0.2572729077243444,0.917884702552925,2.610062889191126,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1483.4208825194246,0.01
17,3.0903124809265137,0.56640625,0.23652746184736165,0.15580454484281908,0.2572729077243444,0.917884702552925,2.634924767216697,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1483.448295120813,0.01
18,2.6351330280303955,0.5908593750000001,0.22876933570995445,0.15580454484281908,0.2572729077243444,0.917884702552925,2.624210815857547,105768.0,105768.0,1.0,8.6,10.0,1483.4482951208129,0.01
19,1.8426299095153809,0.69734375,0.2839941257615709,0.1558045448428191,0.2572729077243444,0.917884702552925,2.6273922793273154,105768.0,105768.0,1.0,8.6,10.0,1483.448295120813,0.01
20,2.4909889698028564,0.635546875,0.2763222193999668,0.15580454484281908,0.2572729077243444,0.917884702552925,2.620990023242388,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1483.5213568019078,0.01
21,3.251622438430786,0.5614843749999999,0.22849029782154587,0.15580454484281905,0.2572729077243444,0.917884702552925,2.608200610274366,105768.0,105768.0,1.0,8.6,10.0,1483.5412444949354,0.01
22,4.391300201416016,0.39343750000000005,0.16977772325093013,0.15580454484281905,0.2572729077243444,0.917884702552925,2.637786902097955,105768.0,105768.0,1.0,8.6,10.0,1483.5412444949354,0.01
23,3.0145483016967773,0.591640625,0.23609480711743336,0.15580454484281908,0.2572729077243444,0.917884702552925,2.6238515238980575,105768.0,105768.0,1.0,8.6,10.0,1483.5412444949357,0.01
24,3.423146963119507,0.62921875,0.25600968832456583,0.15580454484281908,0.2572729077243444,0.917884702552925,2.656908848461951,105768.0,105768.0,1.0,8.6,10.0,1483.5617110270675,0.01
25,3.252284288406372,0.5921875,0.22937430792294067,0.15580454484281908,0.2572729077243444,0.917884702552925,2.6499360514921806,105768.0,105768.0,1.0,8.6,10.0,1483.6020652522275,0.01
26,1.8384003639221191,0.719453125,0.33866116720645073,0.15580454484281908,0.2572729077243444,0.917884702552925,2.6628573485645037,105768.0,105768.0,1.0,8.6,10.0,1483.6035519547702,0.01
27,2.2228739261627197,0.7115625,0.37184737574636384,0.15580454484281905,0.2572729077243444,0.917884702552925,2.6453520292574564,105768.0,105768.0,1.0,8.6,10.0,1483.6390774431884,0.01
28,2.0386664867401123,0.718046875,0.38354473575499987,0.15580454484281908,0.2572729077243444,0.917884702552925,2.652779096468174,105768.0,105768.0,1.0,8.6,10.0,1483.6390774431884,0.01
29,2.842599630355835,0.626484375,0.276118387170362,0.15580454484281908,0.2572729077243444,0.917884702552925,2.615705463736018,105768.0,105768.0,1.0,8.6,10.0,1483.6522323234722,0.01
30,2.500760793685913,0.7190625,0.3821096421076254,0.15580454484281908,0.2572729077243444,0.917884702552925,2.6459366788899095,105768.0,105768.0,1.0,8.6,10.0,1483.683069215143,0.01
