round,loss,accuracy,f1,avg_fit_wall_s,total_comm_bytes_down,total_comm_bytes_up
1,1.7431315183639526,0.33627076347188645,0.05032973446162826,9.34951980113983,16077600.0,16077600.0
2,1.717621088027954,0.33627076347188645,0.05032973446162826,8.20786430835724,16077600.0,16077600.0
3,1.1190224885940552,0.6450128675037042,0.2243568894897995,8.336755919456483,16077600.0,16077600.0
4,1.043073296546936,0.6567885830148951,0.23923032392599267,10.058732175827027,16077600.0,16077600.0
5,1.0056135654449463,0.6663807221399048,0.25352338233910604,17.593322706222533,16077600.0,16077600.0
6,0.9642087817192078,0.6792482258441862,0.27034015127779,8.558394503593444,16077600.0,16077600.0
7,0.9034168124198914,0.6998362317710364,0.28689878944880187,8.391149520874023,16077600.0,16077600.0
8,0.929230272769928,0.7026436871246978,0.2875565738206605,8.299086093902588,16077600.0,16077600.0
9,0.8628662824630737,0.7117679170240974,0.29396153262720515,8.246782779693604,16077600.0,16077600.0
10,1.0618482828140259,0.6766747251033299,0.32856751555636937,8.189606046676635,16077600.0,16077600.0
11,0.6815717816352844,0.7800826639631911,0.3901275861719575,8.310405731201172,16077600.0,16077600.0
12,0.6536694169044495,0.7849177259611635,0.3935450821368314,8.224036908149719,16077600.0,16077600.0
13,0.6235400438308716,0.7987990329876004,0.40603953497769973,8.187917757034302,16077600.0,16077600.0
14,0.6109676361083984,0.8051937924042736,0.41162478700904426,8.359356784820557,16077600.0,16077600.0
15,0.5655458569526672,0.8195430086563207,0.4361720491860461,8.299055004119873,16077600.0,16077600.0
16,0.5451576709747314,0.8236762068158777,0.44849181999520366,8.210248589515686,16077600.0,16077600.0
17,0.5319793820381165,0.8250799344927084,0.4513867462892723,8.149586868286132,16077600.0,16077600.0
18,0.5091578960418701,0.8310847695547063,0.4687233964250372,8.342246556282044,16077600.0,16077600.0
19,0.4873090088367462,0.8376354987132496,0.48274454631529923,8.080539107322693,16077600.0,16077600.0
20,0.4758393168449402,0.8397410902284956,0.4980656889774006,8.348238086700439,16077600.0,16077600.0
21,0.46204912662506104,0.8435623489043126,0.5175944571354539,8.15134539604187,16077600.0,16077600.0
22,0.44838425517082214,0.8473056227091944,0.5246878952234402,8.2531005859375,16077600.0,16077600.0
23,0.4263250529766083,0.854636200577088,0.5366504853617639,8.198815107345581,16077600.0,16077600.0
24,0.41532644629478455,0.8552600795445684,0.5565084319421015,8.246500039100647,16077600.0,16077600.0
25,0.3981196880340576,0.860719020510021,0.5680191918423476,8.187060642242432,16077600.0,16077600.0
26,0.38609591126441956,0.8655540825079935,0.5872607615333999,8.321415996551513,16077600.0,16077600.0
27,0.38873544335365295,0.8640723699602277,0.5881687072296928,8.1373300075531,16077600.0,16077600.0
28,0.36934223771095276,0.8681275832488498,0.592515397442609,8.319383120536804,16077600.0,16077600.0
29,0.35220420360565186,0.8745223426655229,0.6061507170349438,8.289274668693542,16077600.0,16077600.0
30,0.34747928380966187,0.8769398736645091,0.6081339853803279,8.16436984539032,16077600.0,16077600.0
31,0.33487042784690857,0.8811510566950012,0.6152537541596758,8.27194139957428,16077600.0,16077600.0
32,0.3204442858695984,0.8853622397254932,0.6241121724423767,8.33075442314148,16077600.0,16077600.0
33,0.3063880205154419,0.8898073773687905,0.6349130937095877,8.293603897094727,16077600.0,16077600.0
34,0.29322782158851624,0.8952663183342432,0.6389897815470549,8.255620431900024,16077600.0,16077600.0
35,0.28398048877716064,0.8957342275598534,0.6436304851550034,8.220428395271302,16077600.0,16077600.0
36,0.27407461404800415,0.89893160726819,0.6423058719686687,8.203078436851502,16077600.0,16077600.0
37,0.26020610332489014,0.9051703969429931,0.656399398636793,8.305963778495789,16077600.0,16077600.0
38,0.250232994556427,0.9103173984247056,0.665543662878146,8.310882401466369,16077600.0,16077600.0
39,0.23808996379375458,0.9117991109724713,0.6660921630747733,8.260158729553222,16077600.0,16077600.0
40,0.23357561230659485,0.9118770958434064,0.6632386451982459,8.320688581466674,16077600.0,16077600.0
41,0.22368977963924408,0.9150744755517429,0.6690538974034779,8.299076795578003,16077600.0,16077600.0
42,0.2154197245836258,0.9194416283241051,0.6749799851321299,8.265288019180298,16077600.0,16077600.0
43,0.2097136229276657,0.9205334165171957,0.678029933954395,8.294168472290039,16077600.0,16077600.0
44,0.1977047324180603,0.9246666146767527,0.6860731728506672,8.218304657936097,16077600.0,16077600.0
45,0.19559982419013977,0.9257584028698432,0.6883417440422887,8.28554208278656,16077600.0,16077600.0
46,0.18974600732326508,0.9284098884816345,0.6955052622451792,8.244958639144897,16077600.0,16077600.0
47,0.18506456911563873,0.92942369180379,0.701960821574209,8.287886881828308,16077600.0,16077600.0
48,0.17972280085086823,0.931373313577166,0.7165469835780403,8.254151892662048,16077600.0,16077600.0
49,0.1751054972410202,0.933322935350542,0.7187162621470563,8.216275453567505,16077600.0,16077600.0
50,0.17147210240364075,0.9365203150588786,0.7298658458530124,8.26616005897522,16077600.0,16077600.0
51,0.16894866526126862,0.9370662091554238,0.7293896295207286,8.319225335121155,16077600.0,16077600.0
52,0.16502532362937927,0.9381579973485143,0.7386802933032471,8.226346135139465,16077600.0,16077600.0
53,0.16162779927253723,0.9389378460578648,0.7372452875759457,8.407488059997558,16077600.0,16077600.0
54,0.15762491524219513,0.9410434375731108,0.7449204026962374,8.338477659225465,16077600.0,16077600.0
55,0.15613822638988495,0.9418232862824611,0.7456583360136728,8.301489162445069,16077600.0,16077600.0
56,0.1568879336118698,0.9379240427357093,0.7423856652184961,8.16836075782776,16077600.0,16077600.0
57,0.15082839131355286,0.9430710442174218,0.7486491531350391,8.241350555419922,16077600.0,16077600.0
58,0.1474253237247467,0.9437729080558371,0.7509565784560039,8.297543454170228,16077600.0,16077600.0
59,0.14641273021697998,0.9454885752164081,0.7566107365196866,8.1198326587677,16077600.0,16077600.0
60,0.14442981779575348,0.9432270139592919,0.7495305357572103,8.068588662147523,16077600.0,16077600.0
61,0.14193984866142273,0.9463464087966934,0.7577673618690427,8.246615767478943,16077600.0,16077600.0
62,0.1416465789079666,0.9458005147001481,0.7614431141329697,8.274014043807984,16077600.0,16077600.0
63,0.14005641639232635,0.9467363331513686,0.7611564837844255,8.348867821693421,16077600.0,16077600.0
64,0.1380414217710495,0.9462684239257584,0.7607083083730579,8.241964888572692,16077600.0,16077600.0
65,0.13738501071929932,0.9475941667316541,0.7672639977481883,8.322335362434387,16077600.0,16077600.0
66,0.13822926580905914,0.9476721516025891,0.7628441938002585,8.15986647605896,16077600.0,16077600.0
67,0.1329369843006134,0.9484520003119394,0.7706018857062171,8.22976849079132,16077600.0,16077600.0
68,0.13166764378547668,0.9490758792794198,0.7682873264233248,8.206331825256347,16077600.0,16077600.0
69,0.13057202100753784,0.9482960305700694,0.7698016990620807,8.308774042129517,16077600.0,16077600.0
