round,loss,accuracy,f1,dp_epsilon,dp_epsilon_mean,dp_epsilon_max,fit_wall_s,comm_bytes_down,comm_bytes_up,dp_clip_norm,dp_noise_multiplier,dp_target_epsilon,memory_usage_mb,prox_mu
1,2.104546308517456,0.356484375,0.10301720631419586,0.1170028472733847,0.1538979333066634,0.4271650576426159,3.8644355500596044,105768.0,105768.0,1.0,8.6,10.0,891.4672579660447,0.01
2,1.731499195098877,0.447109375,0.1450051312460945,0.1170028472733847,0.1538979333066634,0.4271650576426159,2.651126695267776,105768.0,105768.0,1.0,8.6,10.0,1480.0175441562842,0.01
3,1.6436525583267212,0.4387499999999999,0.12140591061577802,0.1170028472733847,0.1538979333066634,0.4271650576426159,2.6496722948075164,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1480.8509481689186,0.01
4,1.591395616531372,0.403515625,0.11660421253193007,0.11700284727338468,0.1538979333066634,0.4271650576426159,2.658671938881192,105768.00000000001,105768.00000000001,1.0,8.6,10.0,1481.2509023035361,0.01
5,2.925917387008667,0.355625,0.06975254128766986,0.11700284727338468,0.1538979333066634,0.4271650576426159,2.65408229297473,105768.0,105768.0,1.0,8.6,10.0,1481.4360211422506,0.01
6,2.402320623397827,0.41062499999999996,0.10141193101254246,0.1170028472733847,0.1538979333066634,0.4271650576426159,2.6630086165622884,105768.0,105768.0,1.0,8.6,10.0,1485.5896017800214,0.01
7,2.906567335128784,0.468515625,0.14785182462458252,0.1170028472733847,0.1538979333066634,0.4271650576426159,2.670481100955037,105768.0,105768.0,1.0,8.6,10.0,1485.6526221259114,0.01
8,2.7227203845977783,0.418515625,0.13882498922942696,0.1170028472733847,0.1538979333066634,0.4271650576426159,2.6334813022005483,105768.00000000001,105768.00000000001,1.0,8.6,10.0,1485.81103515625,0.01
9,3.094858169555664,0.435546875,0.14420732128998975,0.11700284727338468,0.1538979333066634,0.4271650576426159,2.6538658958620487,105768.00000000001,105768.00000000001,1.0,8.6,10.0,1485.8979950689,0.01
10,3.4073736667633057,0.39499999999999996,0.11746771565401994,0.1170028472733847,0.1538979333066634,0.4271650576426159,2.621416597661242,105768.00000000001,105768.00000000001,1.0,8.6,10.0,1486.0120751168647,0.01
11,2.4554193019866943,0.404375,0.14382808065477376,0.1170028472733847,0.1538979333066634,0.4271650576426159,2.6489605819485416,105768.0,105768.0,1.0,8.6,10.0,1486.123717947546,0.01
12,2.5974977016448975,0.5959375,0.21480544978174682,0.11700284727338468,0.1538979333066634,0.4271650576426159,2.603134421672079,105768.00000000001,105768.00000000001,1.0,8.6,10.0,1486.2204876597596,0.01
13,2.1818342208862305,0.575703125,0.2147345535515712,0.11700284727338468,0.1538979333066634,0.4271650576426159,2.6072732522221367,105768.0,105768.0,1.0,8.6,10.0,1486.2519521348804,0.01
14,2.924856662750244,0.537890625,0.18510318736249426,0.11700284727338468,0.1538979333066634,0.4271650576426159,2.6383760763467934,105768.0,105768.0,1.0,8.6,10.0,1486.2968487237508,0.01
15,2.92504620552063,0.555390625,0.2238558116186334,0.11700284727338468,0.1538979333066634,0.4271650576426159,2.661078828802869,105768.0,105768.0,1.0,8.6,10.0,1486.3091779966805,0.01
16,3.2838244438171387,0.4300781249999999,0.1404750643123735,0.11700284727338468,0.1538979333066634,0.4271650576426159,2.647027436958202,105768.00000000003,105768.00000000003,1.0,8.6,10.0,1486.3139823612491,0.01
17,2.398942708969116,0.58578125,0.230763987275246,0.11700284727338468,0.1538979333066634,0.4271650576426159,2.6339857096354837,105768.0,105768.0,1.0,8.6,10.0,1486.3139823612491,0.01
18,2.870245933532715,0.65421875,0.30069469136038485,0.11700284727338468,0.1538979333066634,0.4271650576426159,2.645333429414682,105768.0,105768.0,1.0,8.6,10.0,1486.3630953360191,0.01
19,2.6275601387023926,0.7092187499999999,0.3310095307691779,0.1170028472733847,0.1538979333066634,0.4271650576426159,2.65242606757528,105768.0,105768.0,1.0,8.6,10.0,1486.3714092934752,0.01
20,2.508413076400757,0.576953125,0.2117189791740566,0.11700284727338468,0.1538979333066634,0.4271650576426159,2.662612897081431,105768.0,105768.0,1.0,8.6,10.0,1486.3762136580438,0.01
21,2.193779468536377,0.677578125,0.28295245255529544,0.1170028472733847,0.1538979333066634,0.4271650576426159,2.6510938730139086,105768.0,105768.0,1.0,8.6,10.0,1486.4198337543626,0.01
22,2.6328041553497314,0.64515625,0.2620815115619347,0.1170028472733847,0.1538979333066634,0.4271650576426159,2.6347630072116037,105768.0,105768.0,1.0,8.6,10.0,1486.4198337543626,0.01
23,2.3662354946136475,0.6521875,0.297295116246144,0.1170028472733847,0.1538979333066634,0.4271650576426159,2.699386565278239,105768.0,105768.0,1.0,8.6,10.0,1486.4281477118186,0.01
24,2.654082775115967,0.676875,0.27991408280269503,0.11700284727338471,0.1538979333066634,0.4271650576426159,2.657188085930672,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1486.4288910630898,0.01
25,2.9398369789123535,0.5967187500000001,0.25331380462149156,0.1170028472733847,0.1538979333066634,0.4271650576426159,2.666891337473034,105768.0,105768.0,1.0,8.6,10.0,1486.4589663243596,0.01
26,3.3480358123779297,0.6571874999999999,0.2727517536140816,0.1170028472733847,0.1538979333066634,0.4271650576426159,2.6198688526269596,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1486.466277976208,0.01
27,4.460269927978516,0.6513281249999999,0.26365128273934085,0.1170028472733847,0.1538979333066634,0.4271650576426159,2.6413862329714943,105768.0,105768.0,1.0,8.6,10.0,1486.4809012799046,0.01
28,4.306437969207764,0.6684375,0.3119139536846083,0.1170028472733847,0.1538979333066634,0.4271650576426159,2.6514706595827984,105768.0,105768.0,1.0,8.6,10.0,1486.4809012799049,0.01
29,2.814427614212036,0.6725,0.31839272323436474,0.11700284727338468,0.1538979333066634,0.4271650576426159,2.6307880043555785,105768.0,105768.0,1.0,8.6,10.0,1486.4857056444735,0.01
30,7.233471870422363,0.3171093750000001,0.1275672638686262,0.11700284727338468,0.1538979333066634,0.4271650576426159,2.640779303632313,105768.0,105768.0,1.0,8.6,10.0,1486.4857056444735,0.01
31,5.699501991271973,0.49914062499999995,0.21294729140794938,0.1170028472733847,0.1538979333066634,0.4271650576426159,2.6550779403083467,105768.0,105768.0,1.0,8.6,10.0,1486.5055933375008,0.01
32,4.392762660980225,0.6317968749999999,0.29869851522595475,0.11700284727338468,0.1538979333066634,0.4271650576426159,2.6437213012486382,105767.99999999997,105767.99999999997,1.0,8.6,10.0,1486.51039770207,0.01
