round,loss,accuracy,f1
1,0.44099360704421997,0.8133695283338989,0.8036262204961903
2,0.3109703063964844,0.8968442483881914,0.8965843007340343
3,0.3101501762866974,0.9009161859518154,0.9013145386651443
4,0.37247952818870544,0.8961655921275874,0.8964982131804549
5,0.44605666399002075,0.8907363420427553,0.8931462106507199
6,0.3566204011440277,0.9009161859518154,0.9026683550525706
7,0.3112814128398895,0.9019341703427214,0.9033624884038955
8,0.389800101518631,0.9029521547336274,0.9028811153238615
9,0.4235236644744873,0.9019341703427214,0.903428568357127
10,0.42666512727737427,0.9090600610790635,0.9104777707928255
11,0.4584729075431824,0.9022734984730234,0.903521479337067
12,0.5488742589950562,0.9002375296912114,0.9020379402581095
13,0.27669697999954224,0.9219545300305395,0.9237849828365172
14,0.42769762873649597,0.9090600610790635,0.9100300202350171
15,0.3862748146057129,0.9141499830335935,0.9145870950583568
16,0.4131157100200653,0.9097387173396675,0.9104555636503473
17,0.24387550354003906,0.9256871394638616,0.9274595741265634
18,0.414011687040329,0.9015948422124194,0.9025942727211033
19,0.36401596665382385,0.9178825924669155,0.9191474333178303
20,0.4050612151622772,0.9229725144214456,0.9235999244860303
21,0.46701887249946594,0.9219545300305395,0.9215718000324931
22,0.4277680218219757,0.9219545300305395,0.9226396685753869
23,0.4746573865413666,0.9080420766881574,0.9089096025848002
24,0.32153722643852234,0.9233118425517476,0.9241091284391337
25,0.41168832778930664,0.9189005768578216,0.9197120580586194
26,0.3993369936943054,0.9267051238547676,0.9270058871044949
27,0.44173404574394226,0.9226331862911435,0.9232247524081476
28,0.4071176052093506,0.9161859518154055,0.9165802621711738
29,0.3602418601512909,0.9243298269426535,0.9260747048180616
30,0.388027161359787,0.9321343739395996,0.9328047343197827
31,0.41004976630210876,0.9165252799457075,0.9164993018399944
32,0.5296276211738586,0.9127926705123854,0.9142524748327986
33,0.47517216205596924,0.9185612487275195,0.9200036095076967
34,0.44116929173469543,0.9260264675941635,0.9264158226769408
35,0.4679565131664276,0.9216152019002375,0.9230135993832032
36,0.3178582489490509,0.9311163895486936,0.9319494614449778
37,0.43059980869293213,0.9134713267729895,0.9149232712900277
38,0.45345380902290344,0.9243298269426535,0.9248066563023764
39,0.4264266788959503,0.9260264675941635,0.9274683155589917
40,0.4748377203941345,0.9226331862911435,0.9240036174853673
41,0.35502102971076965,0.9321343739395996,0.9337410707472917
42,0.30604788661003113,0.9263657957244655,0.9285015169824442
43,0.39916858077049255,0.9250084832032576,0.9269311908175714
44,0.3548260033130646,0.9226331862911435,0.9243973331605924
45,0.37488773465156555,0.9338310145911096,0.9344666745311415
46,0.37836575508117676,0.9284017645062775,0.9303661234636184
47,0.3343106508255005,0.9426535459789617,0.942951611747212
48,0.37768977880477905,0.9389209365456397,0.9387990618451094
49,0.4953491687774658,0.9260264675941635,0.9257714024117542
50,0.420809268951416,0.9246691550729556,0.9265167435546703
