round,loss,accuracy,f1,avg_fit_wall_s,total_comm_bytes_down,total_comm_bytes_up
1,1.8334293365478516,0.19784761756219293,0.03303385416666667,10.536496114730834,8038800.0,8038800.0
2,1.4499363899230957,0.49746549169461124,0.14260153049776386,8.259179306030273,8038800.0,8038800.0
3,2.036484479904175,0.44014661155735785,0.13497307405663575,8.110594320297242,8038800.0,8038800.0
4,0.6821413040161133,0.759572642907276,0.3228408561768017,8.071947193145752,8038800.0,8038800.0
5,0.533907949924469,0.8311627544256415,0.44365664042353126,7.977925109863281,8038800.0,8038800.0
6,0.3203350305557251,0.8835685876939874,0.5784141533557892,8.018648600578308,8038800.0,8038800.0
7,0.24826791882514954,0.9059502456523435,0.6668960122448474,7.8789740085601805,8038800.0,8038800.0
8,0.18547368049621582,0.9320751774155813,0.7377791701083469,7.927149081230164,8038800.0,8038800.0
9,0.1890997439622879,0.9277860095141542,0.7418478706834378,8.004650640487672,8038800.0,8038800.0
10,0.1497010439634323,0.9446307416361226,0.7571031780914156,8.102674341201782,8038800.0,8038800.0
11,0.15088920295238495,0.9445527567651876,0.7635300349792098,8.0465980052948,8038800.0,8038800.0
12,0.12496381253004074,0.9532870623099119,0.7842126097641475,7.852139019966126,8038800.0,8038800.0
13,0.11985452473163605,0.9572642907275989,0.7937762385315911,7.9934937953948975,8038800.0,8038800.0
14,0.11546504497528076,0.9581221243078842,0.8022327026627002,7.953680181503296,8038800.0,8038800.0
15,0.1119946613907814,0.957576230211339,0.8003532929948063,7.957988715171814,8038800.0,8038800.0
16,0.10809913277626038,0.9619433829837012,0.8139206276091155,8.00977919101715,8038800.0,8038800.0
17,0.10895653814077377,0.959525851984715,0.808181161180444,8.00171217918396,8038800.0,8038800.0
18,0.10270517319440842,0.961631443499961,0.8310898911001935,8.068870949745179,8038800.0,8038800.0
19,0.10075505822896957,0.9619433829837012,0.8145604210026811,7.861732172966003,8038800.0,8038800.0
20,0.09635552763938904,0.9632691257895968,0.8339176906645716,8.12673876285553,8038800.0,8038800.0
21,0.10400818288326263,0.961709428370896,0.8234008459864478,7.935101318359375,8038800.0,8038800.0
22,0.0934840515255928,0.965686656788583,0.8492784074745123,7.8645611763000485,8038800.0,8038800.0
23,0.09763012826442719,0.9633471106605318,0.864656546555465,7.941270136833191,8038800.0,8038800.0
24,0.09899750351905823,0.9649068080792327,0.8358627586982628,8.065845179557801,8038800.0,8038800.0
25,0.09443019330501556,0.9659985962723232,0.8383146847012767,7.736454439163208,8038800.0,8038800.0
26,0.09349042922258377,0.9662325508851283,0.8525607390454341,8.039379358291626,8038800.0,8038800.0
27,0.09749896824359894,0.9638930047570772,0.8567794252405733,8.014146399497985,8038800.0,8038800.0
28,0.09349710494279861,0.965842626530453,0.8422488603259897,7.98640456199646,8038800.0,8038800.0
29,0.0957377627491951,0.9661545660141933,0.8388416452945263,7.948930239677429,8038800.0,8038800.0
30,0.09238657355308533,0.9667004601107385,0.8731729056180934,7.9222252368927,8038800.0,8038800.0
31,0.09492732584476471,0.9663885206269983,0.8411145641927444,8.01343743801117,8038800.0,8038800.0
32,0.09607189148664474,0.965842626530453,0.8619900724560715,7.966101598739624,8038800.0,8038800.0
33,0.09541061520576477,0.965764641659518,0.8589935584829914,8.097903227806091,8038800.0,8038800.0
34,0.09663287550210953,0.9659206114013882,0.8512360694575467,7.962822961807251,8038800.0,8038800.0
35,0.10190251469612122,0.9647508383373625,0.8464079034239458,8.029761290550232,8038800.0,8038800.0
36,0.10035179555416107,0.9652187475629728,0.8569039629393781,7.983427381515503,8038800.0,8038800.0
37,0.09833988547325134,0.9654527021757779,0.8592075129290461,7.895930981636047,8038800.0,8038800.0
38,0.10036510229110718,0.9652967324339078,0.8477419975138598,8.082155227661133,8038800.0,8038800.0
39,0.10151918232440948,0.9648288232082975,0.8465009610986034,7.879373526573181,8038800.0,8038800.0
40,0.10248859226703644,0.965842626530453,0.8367823409509128,7.927258753776551,8038800.0,8038800.0
41,0.09703554958105087,0.967558293691024,0.862257001320807,8.041500544548034,8038800.0,8038800.0
42,0.09903188794851303,0.9667004601107385,0.8566761159436249,7.923374652862549,8038800.0,8038800.0
43,0.0981426015496254,0.9661545660141933,0.8559682710798793,7.832131409645081,8038800.0,8038800.0
