round,loss,accuracy,f1,avg_fit_wall_s,total_comm_bytes_down,total_comm_bytes_up
1,0.9901931881904602,0.719176479762926,0.3007720420521586,2.8225286960601808,2115360.0,2115360.0
2,0.8214362859725952,0.7701785853544413,0.4112983220526386,1.7871426105499268,2115360.0,2115360.0
3,0.7441781759262085,0.7916244248615768,0.47580015292713973,1.8414544105529784,2115360.0,2115360.0
4,0.7118297219276428,0.8022303673087421,0.49653147606953973,1.829402494430542,2115360.0,2115360.0
5,0.6784740090370178,0.8037120798565078,0.5009152983858167,1.7796794891357421,2115360.0,2115360.0
6,0.6491646766662598,0.8105747484987912,0.5076718684592167,1.7999994516372682,2115360.0,2115360.0
7,0.6374848484992981,0.8178273414957499,0.5263765578198369,1.8111802816390992,2115360.0,2115360.0
8,0.6103670001029968,0.8218825547843718,0.5310752126009487,1.8184664011001588,2115360.0,2115360.0
9,0.590798020362854,0.8279653747173048,0.5388864021216814,1.7992740869522095,2115360.0,2115360.0
10,0.5681799054145813,0.8315526787803166,0.5421543303181383,1.7883732318878174,2115360.0,2115360.0
11,0.5621549487113953,0.8360758012945488,0.5530729129387297,1.781111979484558,2115360.0,2115360.0
12,0.5461508631706238,0.8408328784215862,0.57133142611802,1.7540509700775146,2115360.0,2115360.0
13,0.5309615135192871,0.8439522732589878,0.568676248367906,1.81163489818573,2115360.0,2115360.0
14,0.5401760339736938,0.8433283942915074,0.5807456603173515,1.7463674068450927,2115360.0,2115360.0
15,0.5042046904563904,0.8467597286126491,0.5682335888115639,1.8202029705047607,2115360.0,2115360.0
16,0.5027055740356445,0.8508149419012712,0.5789850917089574,1.7986989974975587,2115360.0,2115360.0
17,0.4945586621761322,0.8514388208687514,0.5810988318558494,1.7565637350082397,2115360.0,2115360.0
18,0.4902283847332001,0.8540123216096077,0.5958245665647421,1.815261435508728,2115360.0,2115360.0
19,0.48373931646347046,0.8571317164470093,0.5981943674204675,1.7719340324401855,2115360.0,2115360.0
20,0.4714881181716919,0.8554940341573735,0.5847572275317845,1.7843127965927124,2115360.0,2115360.0
21,0.4633188247680664,0.8592373079622553,0.5981776058351855,1.7442561388015747,2115360.0,2115360.0
22,0.461855411529541,0.8634484909927475,0.6111219036799387,1.811711859703064,2115360.0,2115360.0
23,0.45986735820770264,0.8631365515090073,0.6048400675141944,1.7884931564331055,2115360.0,2115360.0
24,0.4474482536315918,0.8660219917336037,0.6085466987277336,1.741674041748047,2115360.0,2115360.0
25,0.4438767433166504,0.8692193714419403,0.616312089522335,1.760006356239319,2115360.0,2115360.0
26,0.42997047305107117,0.8682055681197848,0.6069395120859156,1.8159161329269409,2115360.0,2115360.0
27,0.42929983139038086,0.8711689932153163,0.6180009217520702,1.8205656290054322,2115360.0,2115360.0
28,0.42192748188972473,0.8716369024409265,0.6148634161662273,1.8255500793457031,2115360.0,2115360.0
29,0.42222461104393005,0.8767059190517039,0.629467011482978,1.7812613010406495,2115360.0,2115360.0
30,0.4156928062438965,0.8753801762458083,0.621641088618768,1.722598171234131,2115360.0,2115360.0
31,0.4113318622112274,0.8789674803088201,0.6301034894903953,1.8147767782211304,2115360.0,2115360.0
32,0.41265204548835754,0.8795133744053654,0.6373476160359025,1.7772969722747802,2115360.0,2115360.0
33,0.40269407629966736,0.8812290415659362,0.6350443529382634,1.773860216140747,2115360.0,2115360.0
34,0.4022795855998993,0.8820088902752866,0.6390688272089968,1.7325602531433106,2115360.0,2115360.0
35,0.39270591735839844,0.8810730718240661,0.6298365521059093,1.81515691280365,2115360.0,2115360.0
36,0.38931530714035034,0.8826327692427669,0.6347374551348877,1.7624048471450806,2115360.0,2115360.0
37,0.3897090256214142,0.8829447087265071,0.6397646759255995,1.8421851634979247,2115360.0,2115360.0
38,0.38724029064178467,0.8858301489511035,0.6425402114217298,1.8434902906417847,2115360.0,2115360.0
39,0.38651445508003235,0.8861420884348437,0.6447478144061398,1.755812120437622,2115360.0,2115360.0
40,0.3845314383506775,0.8864540279185837,0.6475839411353886,1.7757311582565307,2115360.0,2115360.0
41,0.37735623121261597,0.8855961943382984,0.6398458787178395,1.823086142539978,2115360.0,2115360.0
42,0.37587106227874756,0.8873898463698042,0.6460294295758577,1.8453613996505738,2115360.0,2115360.0
43,0.3747237026691437,0.8881696950791547,0.649932204977603,1.7135429859161377,2115360.0,2115360.0
44,0.3672221899032593,0.8879357404663495,0.6434946688503176,1.8143218755722046,2115360.0,2115360.0
45,0.366484135389328,0.88902752865944,0.6490394120794843,1.7575818300247192,2115360.0,2115360.0
46,0.36594513058662415,0.890821180690946,0.6528179858968914,1.7321791172027587,2115360.0,2115360.0
47,0.3629104197025299,0.8898853622397255,0.650626539531171,1.816273856163025,2115360.0,2115360.0
48,0.3645820617675781,0.8913670747874912,0.6513585747131055,1.834765648841858,2115360.0,2115360.0
